, ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,,
,,,ID SP,DESCRIPTION,FUEL,CD GZ,MPAN,METER CATEGORY,ETFV DT,RATE CD,RATE,SC DESCRIPTION,SC EX VAT,SC INC VAT,Change,UR1 DESCRIPTION,UR 1 EX VAT,UR 1 INC VAT,UR2 DESCRIPTION,UR 2 EX VAT,UR 2 INC VAT,UR3 DESCRIPTION,UR 3 EX VAT,UR 3 INC VAT,UR4 DESCRIPTION,UR 4 EX VAT,UR 4 INC VAT,,RATE TYPE
1,2 Rate_B,2 Rate_B1,,2 Rate,Electric,_B,,2 Rate,,,Direct Debit,Standing Charge,0.5389,0.5658,,Peak,0.2519,0.2645,Off peak ,0.1818,0.1909,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_C,2 Rate_C1,,2 Rate,Electric,_C,,2 Rate,,,Direct Debit,Standing Charge,0.3946,0.4143,,Peak,0.2644,0.2776,Off peak ,0.2005,0.2105,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_D,2 Rate_D1,,2 Rate,Electric,_D,,2 Rate,,,Direct Debit,Standing Charge,0.6438,0.676,,Peak,0.2689,0.2823,Off peak ,0.191,0.2006,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_E,2 Rate_E1,,2 Rate,Electric,_E,,2 Rate,,,Direct Debit,Standing Charge,0.6052,0.6355,,Peak,0.2493,0.2618,Off peak ,0.1869,0.1962,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_F,2 Rate_F1,,2 Rate,Electric,_F,,2 Rate,,,Direct Debit,Standing Charge,0.683,0.7172,,Peak,0.2421,0.2542,Off peak ,0.1819,0.191,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_G,2 Rate_G1,,2 Rate,Electric,_G,,2 Rate,,,Direct Debit,Standing Charge,0.4928,0.5174,,Peak,0.2678,0.2812,Off peak ,0.1839,0.1931,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_P,2 Rate_P1,,2 Rate,Electric,_P,,2 Rate,,,Direct Debit,Standing Charge,0.5986,0.6285,,Peak,0.2642,0.2774,Off peak ,0.1887,0.1981,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_N,2 Rate_N1,,2 Rate,Electric,_N,,2 Rate,,,Direct Debit,Standing Charge,0.6194,0.6504,,Peak,0.2596,0.2726,Off peak ,0.1753,0.1841,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_J,2 Rate_J1,,2 Rate,Electric,_J,,2 Rate,,,Direct Debit,Standing Charge,0.5538,0.5815,,Peak,0.269,0.2825,Off peak ,0.1875,0.1969,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_H,2 Rate_H1,,2 Rate,Electric,_H,,2 Rate,,,Direct Debit,Standing Charge,0.614,0.6447,,Peak,0.2586,0.2715,Off peak ,0.1895,0.199,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_K,2 Rate_K1,,2 Rate,Electric,_K,,2 Rate,,,Direct Debit,Standing Charge,0.6053,0.6356,,Peak,0.2602,0.2732,Off peak ,0.1854,0.1947,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_L,2 Rate_L1,,2 Rate,Electric,_L,,2 Rate,,,Direct Debit,Standing Charge,0.6534,0.6861,,Peak,0.2576,0.2705,Off peak ,0.1821,0.1912,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_M,2 Rate_M1,,2 Rate,Electric,_M,,2 Rate,,,Direct Debit,Standing Charge,0.6484,0.6808,,Peak,0.2422,0.2543,Off peak ,0.1896,0.1991,,,,,,,,Live Run SVT Direct Debit 
1,THTC_P,THTC_P1,,THTC,Electric,_P,,THTC,,,Direct Debit,Standing Charge,0.5986,0.6285,,Anytime,0.2656,0.2789,Heating,0.2151,0.2259,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_A,Flex Rate_A1,,Flex Rate,Electric,_A,,Flex Rate,,,Direct Debit,Standing Charge,0.4876,0.512,,Anytime,0.2557,0.2685,Heating,0.2037,0.2139,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_B,Flex Rate_B1,,Flex Rate,Electric,_B,,Flex Rate,,,Direct Debit,Standing Charge,0.5389,0.5658,,Anytime,0.2404,0.2524,Heating,0.1958,0.2056,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_C,Flex Rate_C1,,Flex Rate,Electric,_C,,Flex Rate,,,Direct Debit,Standing Charge,0.3946,0.4143,,Anytime,0.2531,0.2658,Heating,0.2143,0.225,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_D,Flex Rate_D1,,Flex Rate,Electric,_D,,Flex Rate,,,Direct Debit,Standing Charge,0.6438,0.676,,Anytime,0.2567,0.2695,Heating,0.2059,0.2162,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_E,Flex Rate_E1,,Flex Rate,Electric,_E,,Flex Rate,,,Direct Debit,Standing Charge,0.6052,0.6355,,Anytime,0.2396,0.2516,Heating,0.1988,0.2087,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_F,Flex Rate_F1,,Flex Rate,Electric,_F,,Flex Rate,,,Direct Debit,Standing Charge,0.683,0.7172,,Anytime,0.233,0.2447,Heating,0.1931,0.2028,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_G,Flex Rate_G1,,Flex Rate,Electric,_G,,Flex Rate,,,Direct Debit,Standing Charge,0.4928,0.5174,,Anytime,0.2544,0.2671,Heating,0.2002,0.2102,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_P,Flex Rate_P1,,Flex Rate,Electric,_P,,Flex Rate,,,Direct Debit,Standing Charge,0.5986,0.6285,,Anytime,0.2528,0.2654,Heating,0.2027,0.2128,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_N,Flex Rate_N1,,Flex Rate,Electric,_N,,Flex Rate,,,Direct Debit,Standing Charge,0.6194,0.6504,,Anytime,0.2426,0.2547,Heating,0.196,0.2058,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_J,Flex Rate_J1,,Flex Rate,Electric,_J,,Flex Rate,,,Direct Debit,Standing Charge,0.5538,0.5815,,Anytime,0.2572,0.2701,Heating,0.202,0.2121,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_H,Flex Rate_H1,,Flex Rate,Electric,_H,,Flex Rate,,,Direct Debit,Standing Charge,0.614,0.6447,,Anytime,0.2485,0.2609,Heating,0.2018,0.2119,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_K,Flex Rate_K1,,Flex Rate,Electric,_K,,Flex Rate,,,Direct Debit,Standing Charge,0.6053,0.6356,,Anytime,0.2493,0.2618,Heating,0.1987,0.2086,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_L,Flex Rate_L1,,Flex Rate,Electric,_L,,Flex Rate,,,Direct Debit,Standing Charge,0.6534,0.6861,,Anytime,0.2468,0.2591,Heating,0.1953,0.2051,,,,,,,,Live Run SVT Direct Debit 
1,Flex Rate_M,Flex Rate_M1,,Flex Rate,Electric,_M,,Flex Rate,,,Direct Debit,Standing Charge,0.6484,0.6808,,Anytime,0.234,0.2457,Heating,0.1997,0.2097,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate (Heating)_P,2 Rate (Heating)_P1,,2 Rate (Heating),Electric,_P,,2 Rate (Heating),,,Direct Debit,Standing Charge,0.5986,0.6285,,Anytime,0.247,0.2594,Heating,0.2097,0.2202,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate (Heating)_N,2 Rate (Heating)_N1,,2 Rate (Heating),Electric,_N,,2 Rate (Heating),,,Direct Debit,Standing Charge,0.6194,0.6504,,Anytime,0.2455,0.2578,Heating,0.1925,0.2021,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate (Heating)_K,2 Rate (Heating)_K1,,2 Rate (Heating),Electric,_K,,2 Rate (Heating),,,Direct Debit,Standing Charge,0.6053,0.6356,,Anytime,0.2421,0.2542,Heating,0.2075,0.2179,,,,,,,,Live Run SVT Direct Debit 
1,Superdeal_H,Superdeal_H1,,Superdeal,Electric,_H,,Superdeal,,,Direct Debit,Standing Charge,0.614,0.6447,,Peak,0.2724,0.286,Off peak ,0.2077,0.2181,Heating,0.2073,0.2177,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_A,3 Rate (Heating)_A1,,3 Rate (Heating),Electric,_A,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.4876,0.512,,Peak,0.2962,0.311,Off peak ,0.203,0.2132,Heating,0.2168,0.2276,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_B,3 Rate (Heating)_B1,,3 Rate (Heating),Electric,_B,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.5389,0.5658,,Peak,0.2702,0.2837,Off peak ,0.1963,0.2061,Heating,0.2087,0.2191,,,,,Live Run SVT Direct Debit 
1,3 Rate (Heating)_C,3 Rate (Heating)_C1,,3 Rate (Heating),Electric,_C,,3 Rate (Heating),,,Direct Debit,Standing Charge,0.3946,0.4143,,Peak,0.2834,0.2976,Off peak ,0.2113,0.2219,Heating,0.2249,0.2361,,,,,Live Run SVT Direct Debit 
